text,title,note,category,amount,day_of_month,day_of_week,is_weekend
Quick Tax filing CA consultancy fee today Monthly other budget expense,Quick Tax filing CA consultancy fee today,Monthly other budget expense,other,4957.7,5,2,0
Online Co-living monthly rent for home,Online Co-living monthly rent for home,,rent,10133.38,21,4,0
Quick Diesel filling for car,Quick Diesel filling for car,,transport,3749.69,5,2,0
Bill for Rapido bike taxi at store,Bill for Rapido bike taxi at store,,transport,1589.8,10,6,1
Txn: Society maintenance bill urgent Routine rent item,Txn: Society maintenance bill urgent,Routine rent item,rent,10006.81,20,4,0
Spent on Security deposit installment via GPay,Spent on Security deposit installment via GPay,,rent,11848.02,24,4,0
Spotify premium music renewal with card,Spotify premium music renewal with card,,entertainment,326.34,9,5,1
Quick Sunglasses purchase,Quick Sunglasses purchase,,shopping,9165.47,10,5,1
Txn: Dermatologist skin treatment today Monthly health budget expense,Txn: Dermatologist skin treatment today,Monthly health budget expense,health,2519.98,23,0,0
Quick EV charging station fee with discount Routine transport item,Quick EV charging station fee with discount,Routine transport item,transport,2116.77,20,1,0
Bill for Amusement park entry ticket today Routine entertainment item,Bill for Amusement park entry ticket today,Routine entertainment item,entertainment,565.28,17,4,0
Txn: Room rent for current month with discount Paid via UPI for rent,Txn: Room rent for current month with discount,Paid via UPI for rent,rent,9900.88,8,1,0
Purchase at Monthly apartment rent today Paid via UPI for rent,Purchase at Monthly apartment rent today,Paid via UPI for rent,rent,39566.55,8,6,1
Bill for Car servicing & oil change at store Paid via UPI for transport,Bill for Car servicing & oil change at store,Paid via UPI for transport,transport,3445.89,17,3,0
Online Courier speed post delivery Paid via UPI for other,Online Courier speed post delivery,Paid via UPI for other,other,631.29,17,3,0
Bill for Apple store accessories Paid via UPI for shopping,Bill for Apple store accessories,Paid via UPI for shopping,shopping,1289.51,20,6,1
Courier speed post delivery with card Routine other item,Courier speed post delivery with card,Routine other item,other,2642.47,24,2,0
Skillshare creative subscription today,Skillshare creative subscription today,,education,1752.41,7,2,0
Quick Dental clinic root canal visit with discount Routine health item,Quick Dental clinic root canal visit with discount,Routine health item,health,6162.35,27,4,0
Paid for PG accommodation fee today Routine rent item,Paid for PG accommodation fee today,Routine rent item,rent,19927.93,18,2,0
Quick Bus pass monthly renewal Personal spending on transport,Quick Bus pass monthly renewal,Personal spending on transport,transport,251.6,23,2,0
Online Tax filing CA consultancy fee via GPay,Online Tax filing CA consultancy fee via GPay,,other,3676.94,5,2,0
Quick Hotstar subscription plan urgent,Quick Hotstar subscription plan urgent,,entertainment,1862.02,27,4,0
Online Courier speed post delivery Monthly other budget expense,Online Courier speed post delivery,Monthly other budget expense,other,2273.31,14,4,0
Online Apollo Pharmacy medicines urgent,Online Apollo Pharmacy medicines urgent,,health,7743.15,19,1,0
Spent on Breakfast at Saravana Bhavan today Personal spending on food,Spent on Breakfast at Saravana Bhavan today,Personal spending on food,food,619.48,2,4,0
Flat maintenance charge with discount Personal spending on rent,Flat maintenance charge with discount,Personal spending on rent,rent,17547.7,14,5,1
Online Watch purchase at Titan,Online Watch purchase at Titan,,shopping,12821.64,7,4,0
Quick Audible audiobooks for home Paid via UPI for entertainment,Quick Audible audiobooks for home,Paid via UPI for entertainment,entertainment,2878.68,18,2,0
Online Concert musical event pass at store Routine entertainment item,Online Concert musical event pass at store,Routine entertainment item,entertainment,2880.5,18,2,0
Purchase at Ajio discount clothes at store Paid via UPI for shopping,Purchase at Ajio discount clothes at store,Paid via UPI for shopping,shopping,12548.22,11,3,0
Purchase at Concert musical event pass with card,Purchase at Concert musical event pass with card,,entertainment,1805.31,13,3,0
Purchase at Amazon Prime annual membership Monthly entertainment budget expense,Purchase at Amazon Prime annual membership,Monthly entertainment budget expense,entertainment,1004.65,12,3,0
Txn: Dermatologist skin treatment at store Routine health item,Txn: Dermatologist skin treatment at store,Routine health item,health,6658.02,18,5,1
Paid for Gym membership monthly renewal at store,Paid for Gym membership monthly renewal at store,,health,2091.17,8,5,1
Paid for Flipkart electronics sale today Paid via UPI for shopping,Paid for Flipkart electronics sale today,Paid via UPI for shopping,shopping,6213.17,4,5,1
Spent on Uber cab ride to office today Paid via UPI for transport,Spent on Uber cab ride to office today,Paid via UPI for transport,transport,2955.37,16,5,1
Bill for Ajio discount clothes urgent Monthly shopping budget expense,Bill for Ajio discount clothes urgent,Monthly shopping budget expense,shopping,11767.8,21,4,0
Croma electronics cable & charger via GPay Personal spending on shopping,Croma electronics cable & charger via GPay,Personal spending on shopping,shopping,7754.78,2,6,1
Online Web development workshop fee via GPay Routine education item,Online Web development workshop fee via GPay,Routine education item,education,23446.85,2,0,0
Bill for Blood test and full body checkup urgent,Bill for Blood test and full body checkup urgent,,health,3743.92,17,3,0
Online Auto rickshaw cash fare urgent Monthly transport budget expense,Online Auto rickshaw cash fare urgent,Monthly transport budget expense,transport,908.01,11,1,0
Spent on Home repair and plumbing Routine other item,Spent on Home repair and plumbing,Routine other item,other,4446.05,19,5,1
Quick Nike running shoes today Monthly shopping budget expense,Quick Nike running shoes today,Monthly shopping budget expense,shopping,9468.94,13,5,1
Spent on PG accommodation fee with discount Personal spending on rent,Spent on PG accommodation fee with discount,Personal spending on rent,rent,17944.07,1,2,0
Online Books and stationery store urgent Routine education item,Online Books and stationery store urgent,Routine education item,education,23873.81,19,5,1
Bill for Barbeque Nation buffet at store Monthly food budget expense,Bill for Barbeque Nation buffet at store,Monthly food budget expense,food,329.98,15,2,0
Purchase at Airport cab taxi fare with card Routine transport item,Purchase at Airport cab taxi fare with card,Routine transport item,transport,2892.27,12,4,0
Spent on IKEA home furniture with discount,Spent on IKEA home furniture with discount,,shopping,3096.07,12,3,0
Txn: Gift for friend birthday with card,Txn: Gift for friend birthday with card,,other,3200.49,23,2,0
Paid for Water tanker for society,Paid for Water tanker for society,,rent,38150.96,7,4,0
Bill for Rapido bike taxi with discount Personal spending on transport,Bill for Rapido bike taxi with discount,Personal spending on transport,transport,567.27,23,4,0
Online Mobile postpaid monthly bill,Online Mobile postpaid monthly bill,,other,2775.25,14,3,0
Purchase at Midnight food delivery Monthly food budget expense,Purchase at Midnight food delivery,Monthly food budget expense,food,1458.31,24,1,0
Quick Monthly apartment rent for home,Quick Monthly apartment rent for home,,rent,33015.4,2,0,0
Purchase at Broadband WiFi internet bill today Personal spending on other,Purchase at Broadband WiFi internet bill today,Personal spending on other,other,1161.89,25,5,1
Quick Skillshare creative subscription with discount Paid via UPI for education,Quick Skillshare creative subscription with discount,Paid via UPI for education,education,21805.57,13,0,0
Paid for Bike maintenance and repair via GPay Paid via UPI for transport,Paid for Bike maintenance and repair via GPay,Paid via UPI for transport,transport,4468.17,17,1,0
Amazon online purchase urgent,Amazon online purchase urgent,,shopping,8548.87,14,4,0
Txn: Academic journal access fee at store Personal spending on education,Txn: Academic journal access fee at store,Personal spending on education,education,11784.78,9,1,0
Quick Monthly apartment rent Monthly rent budget expense,Quick Monthly apartment rent,Monthly rent budget expense,rent,14626.65,4,4,0
Juice center fresh juice at store Paid via UPI for food,Juice center fresh juice at store,Paid via UPI for food,food,2623.03,15,1,0
Spent on Flipkart electronics sale urgent,Spent on Flipkart electronics sale urgent,,shopping,4521.24,11,4,0
Purchase at Steam video game purchase via GPay,Purchase at Steam video game purchase via GPay,,entertainment,2959.93,8,3,0
Ayurvedic medicines purchase via GPay Paid via UPI for health,Ayurvedic medicines purchase via GPay,Paid via UPI for health,health,5082.75,18,3,0
Quick Ice cream at Baskin Robbins for home Paid via UPI for food,Quick Ice cream at Baskin Robbins for home,Paid via UPI for food,food,2473.52,5,2,0
Online College semester tuition fee at store Routine education item,Online College semester tuition fee at store,Routine education item,education,21308.7,28,5,1
EV charging station fee today,EV charging station fee today,,transport,4356.65,17,1,0
Purchase at Books and stationery store at store Monthly education budget expense,Purchase at Books and stationery store at store,Monthly education budget expense,education,8590.77,15,6,1
Txn: BookMyShow movie tickets,Txn: BookMyShow movie tickets,,entertainment,950.96,20,0,0
Txn: Flat maintenance charge with discount Routine rent item,Txn: Flat maintenance charge with discount,Routine rent item,rent,13355.56,10,0,0
Paid for Apple store accessories with discount,Paid for Apple store accessories with discount,,shopping,16494.17,23,1,0
Txn: Tuition fee for coaching for home Paid via UPI for education,Txn: Tuition fee for coaching for home,Paid via UPI for education,education,19499.87,15,4,0
Purchase at Bowling & gaming arcade for home Paid via UPI for entertainment,Purchase at Bowling & gaming arcade for home,Paid via UPI for entertainment,entertainment,1635.4,15,0,0
Txn: Laundry dry cleaning for home Monthly other budget expense,Txn: Laundry dry cleaning for home,Monthly other budget expense,other,1946.24,19,6,1
H&M summer collection urgent,H&M summer collection urgent,,shopping,10138.28,19,5,1
Spent on Kindle e-book purchase at store Paid via UPI for education,Spent on Kindle e-book purchase at store,Paid via UPI for education,education,8581.03,19,6,1
Bill for Winter jacket shopping urgent Paid via UPI for shopping,Bill for Winter jacket shopping urgent,Paid via UPI for shopping,shopping,13835.15,24,5,1
